route_name,route_description,total_complaints,boardings,bus_stop_issue,bus_stop_issue_ratio,bus_stop_issue_rank,bus_stop_issue_percent,capacity,capacity_ratio,capacity_rank,capacity_percent,cleanliness,cleanliness_ratio,cleanliness_rank,cleanliness_percent,no_stop,no_stop_ratio,no_stop_rank,no_stop_percent,driver_conduct,driver_conduct_ratio,driver_conduct_rank,driver_conduct_percent,fares,fares_ratio,fares_rank,fares_percent,maintenance,maintenance_ratio,maintenance_rank,maintenance_percent,misc,misc_ratio,misc_rank,misc_percent,passenger_conduct,passenger_conduct_ratio,passenger_conduct_rank,passenger_conduct_percent,praise,praise_ratio,praise_rank,praise_percent,safety,safety_ratio,safety_rank,safety_percent,schedule,schedule_ratio,schedule_rank,schedule_percent
133,No description,62,258173,0,0,86,0,2,0.8,30,3.2,0,0,73,0,2,0.8,90,3.2,7,2.7,72,11.3,0,0,49,0,0,0,65,0,4,1.5,62,6.5,0,0,34,0,3,1.2,40,4.8,0,0,86,0,44,17,44,71
135,135th St Crosstown,326,799396,10,1.3,51,3.1,4,0.5,45,1.2,2,0.3,58,0.6,38,4.8,31,11.7,28,3.5,49,8.6,0,0,49,0,3,0.4,22,0.9,15,1.9,47,4.6,0,0,34,0,2,0.3,83,0.6,10,1.3,52,3.1,214,26.8,23,65.6
136,Douglas Road to Old Cutler,150,137205,4,2.9,25,2.7,6,4.4,5,4,1,0.7,24,0.7,2,1.5,88,1.3,2,1.5,85,1.3,0,0,49,0,0,0,65,0,5,3.6,20,3.3,0,0,34,0,2,1.5,33,1.3,3,2.2,25,2,125,91.1,3,83.3
137,West Dade Connection,549,1147814,35,3,22,6.4,13,1.1,20,2.4,14,1.2,14,2.6,54,4.7,33,9.8,32,2.8,68,5.8,0,0,49,0,4,0.3,23,0.7,25,2.2,38,4.6,0,0,34,0,10,0.9,54,1.8,17,1.5,40,3.1,345,30.1,20,62.8
150,Miami Beach Airport Flyer,159,941123,5,0.5,75,3.1,3,0.3,55,1.9,7,0.7,22,4.4,37,3.9,40,23.3,21,2.2,80,13.2,2,0.2,23,1.3,3,0.3,24,1.9,16,1.7,50,10.1,0,0,34,0,16,1.7,28,10.1,4,0.4,83,2.5,45,4.8,74,28.3
183,Northwest 87th Avenue to Adventura Mall,374,2102464,17,0.8,63,4.5,6,0.3,60,1.6,7,0.3,45,1.9,49,2.3,74,13.1,48,2.3,79,12.8,11,0.5,6,2.9,5,0.2,36,1.3,14,0.7,89,3.7,1,0,27,0.3,17,0.8,57,4.5,17,0.8,74,4.5,182,8.7,66,48.7
195,No description,300,484096,1,0.2,85,0.3,5,1,22,1.7,2,0.4,37,0.7,24,5,27,8,41,8.5,10,13.7,2,0.4,8,0.7,13,2.7,2,4.3,30,6.2,10,10,0,0,34,0,27,5.6,3,9,15,3.1,11,5,140,28.9,21,46.7
200,Cutler Bay Local,63,36032,6,16.7,2,9.5,2,5.6,4,3.2,0,0,73,0,12,33.3,2,19,7,19.4,2,11.1,0,0,49,0,0,0,65,0,3,8.3,6,4.8,1,2.8,1,1.6,2,5.6,5,3.2,1,2.8,16,1.6,29,80.5,4,46
202,Little Haiti Connection,63,104295,1,1,56,1.6,3,2.9,7,4.8,0,0,73,0,20,19.2,4,31.7,1,1,87,1.6,0,0,49,0,1,1,7,1.6,1,1,85,1.6,0,0,34,0,3,2.9,14,4.8,0,0,86,0,33,31.6,19,52.4
204,Killian KAT,159,541120,6,1.1,55,3.8,5,0.9,24,3.1,16,3,3,10.1,16,3,59,10.1,19,3.5,48,11.9,1,0.2,28,0.6,11,2,3,6.9,24,4.4,15,15.1,0,0,34,0,5,0.9,48,3.1,11,2,27,6.9,45,8.3,67,28.3
